donnee;code;libelle
ABOND;1;0-25% PRESENCE FAIBLE
ABOND;2;0-25% PRESENCE NETTE
ABOND;3;25-50%
ABOND;4;50-75%
ABOND;5;75-100%
ACCI;0;PAS D'ACCIDENT
ACCI;1;CASSE
ACCI;2;PENCHE
ACCI;3;COURBE
ACCI;4;BRULE
ASPERITE;0;TERRAIN NON ACCIDENTE
ASPERITE;1;TERRAIN ACCIDENTE
ASPERITE;2;TERRAIN TRES ACCIDENTE
CAC;01;0-5 ans
CAC;02;5-10 ans
CAC;03;10-15 ans
CAC;04;15-20 ans
CAC;05;20-25 ans
CAC;06;25-30 ans
CAC;07;30-35 ans
CAC;08;35-40 ans
CAC;09;40-50 ans
CAC;10;50-60 ans
CAC;11;60-70 ans
CAC;12;70-80 ans
CAC;13;80-100 ans
CAC;14;100-120 ans
CAC;15;120-140 ans
CAC;16;140-160 ans
CAC;17;160-180 ans
CAC;18;180-200 ans
CAC;19;200-240 ans
CAC;20;>= 240 ans
CAC;AA;ABSENCE D'ARBRES
CAC;NR;PEU RECENSABLE
CLON;0;AUTRE
CLON;1;ROBUSTA
CLON;2;I214
CLON;D;DELTOIDE
CLON;E;AUTRE EURAMERICAIN
CLON;I;INTERAMERICAIN
CLON;T;TRICHOCARPA
CSA;1;COUVERTURE BOISEE FERMEE
CSA;2;BOSQUET
CSA;3;COUVERTURE BOISEE OUVERTE
CSA;5;PEUPLERAIE
DATEMORT;1;5 ANS OU MOINS
DATEMORT;2;PLUS DE 5 ANS
DC;0;PAS DE COUPE
DC;3;COUPE RASE SANS TRAVAUX
DC;4;COUPE RASE ET TRAVAUX
DC;6;COUPE TOTALE DE L'ETAGE DOMINANT
DC;7;COUPE FORTE DE L'ETAGE DOMINANT
DC;8;COUPE PARTIELLE
DC;9;COUPE PONCTUELLE
DCESPAR1;02;CHENE PEDONCULE
DCESPAR1;03;CHENE SESSILE
DCESPAR1;04;CHENE ROUGE
DCESPAR1;05;CHENE PUBESCENT
DCESPAR1;06;CHENE VERT
DCESPAR1;07;CHENE TAUZIN
DCESPAR1;08S;CHENE-LIEGE
DCESPAR1;09;HETRE
DCESPAR1;10;CHATAIGNIER
DCESPAR1;11;CHARME
DCESPAR1;12V;BOULEAU VERRUQUEUX
DCESPAR1;13G;AULNE GLUTINEUX
DCESPAR1;14;ROBINIER FAUX ACACIA
DCESPAR1;17C;FRENE COMMUN
DCESPAR1;18C;ORME CHAMPETRE
DCESPAR1;19;PEUPLIER CULTIVE
DCESPAR1;21M;ERABLE DE MONTPELLIER
DCESPAR1;22M;MERISIER
DCESPAR1;24;TREMBLE
DCESPAR1;26OC;PLATANE D'OCCIDENT
DCESPAR1;31;NOISETIER COUDRIER
DCESPAR1;33B;PEUPLIER BLANC
DCESPAR1;33N;PEUPLIER NOIR
DCESPAR1;41;ALISIER TORMINAL
DCESPAR1;49PS;PRUNELIER
DCESPAR1;51;PIN MARITIME
DCESPAR1;52;PIN SYLVESTRE
DCESPAR1;53CO;PIN LARICIO DE CORSE
DCESPAR1;54;PIN NOIR D'AUTRICHE
DCESPAR1;56;PIN WEYMOUTH
DCESPAR1;58;PIN A CROCHETS
DCESPAR1;61;SAPIN PECTINE
DCESPAR1;62;EPICEA COMMUN
DCESPAR1;63;MELEZE D'EUROPE
DCESPAR1;64;DOUGLAS
DCESPAR1;72V;SAPIN DE VANCOUVER
DCESPAR1;73;EPICEA DE SITKA
DCESPAR2;02;CHENE PEDONCULE
DCESPAR2;03;CHENE SESSILE
DCESPAR2;04;CHENE ROUGE
DCESPAR2;05;CHENE PUBESCENT
DCESPAR2;06;CHENE VERT
DCESPAR2;07;CHENE TAUZIN
DCESPAR2;08S;CHENE-LIEGE
DCESPAR2;09;HETRE
DCESPAR2;10;CHATAIGNIER
DCESPAR2;11;CHARME
DCESPAR2;12V;BOULEAU VERRUQUEUX
DCESPAR2;13G;AULNE GLUTINEUX
DCESPAR2;14;ROBINIER FAUX ACACIA
DCESPAR2;17C;FRENE COMMUN
DCESPAR2;18C;ORME CHAMPETRE
DCESPAR2;19;PEUPLIER CULTIVE
DCESPAR2;21M;ERABLE DE MONTPELLIER
DCESPAR2;22M;MERISIER
DCESPAR2;24;TREMBLE
DCESPAR2;26OC;PLATANE D'OCCIDENT
DCESPAR2;31;NOISETIER COUDRIER
DCESPAR2;33B;PEUPLIER BLANC
DCESPAR2;33N;PEUPLIER NOIR
DCESPAR2;41;ALISIER TORMINAL
DCESPAR2;49PS;PRUNELIER
DCESPAR2;51;PIN MARITIME
DCESPAR2;52;PIN SYLVESTRE
DCESPAR2;53CO;PIN LARICIO DE CORSE
DCESPAR2;54;PIN NOIR D'AUTRICHE
DCESPAR2;56;PIN WEYMOUTH
DCESPAR2;58;PIN A CROCHETS
DCESPAR2;61;SAPIN PECTINE
DCESPAR2;62;EPICEA COMMUN
DCESPAR2;63;MELEZE D'EUROPE
DCESPAR2;64;DOUGLAS
DCESPAR2;72V;SAPIN DE VANCOUVER
DCESPAR2;73;EPICEA DE SITKA
DECOUPE;0;DECOUPE BOIS FORT
DECOUPE;1;DECOUPE DE FORME
DIST;0;0-200 m
DIST;1;200-500 m
DIST;2;500-1000 m
DIST;3;1000-2000 m
DIST;4;>= 2000 m
ENTP;0;SOIGNE
ENTP;1;PEU ENTRETENU
ENTP;2;PAS ENTRETENU
ESPAR;02;CHENE PEDONCULE
ESPAR;03;CHENE SESSILE
ESPAR;04;CHENE ROUGE
ESPAR;05;CHENE PUBESCENT
ESPAR;06;CHENE VERT
ESPAR;07;CHENE TAUZIN
ESPAR;08S;CHENE-LIEGE
ESPAR;09;HETRE
ESPAR;10;CHATAIGNIER
ESPAR;11;CHARME
ESPAR;12P;BOULEAU PUBESCENT
ESPAR;12V;BOULEAU VERRUQUEUX
ESPAR;13B;AULNE BLANC
ESPAR;13C;AULNE DE CORSE
ESPAR;13G;AULNE GLUTINEUX
ESPAR;14;ROBINIER FAUX ACACIA
ESPAR;15P;ERABLE PLANE
ESPAR;15S;ERABLE SYCOMORE
ESPAR;16;MICOCOULIER
ESPAR;17C;FRENE COMMUN
ESPAR;17F;FRENE A FLEUR
ESPAR;17O;FRENE OXYPHYLLE
ESPAR;18C;ORME CHAMPETRE
ESPAR;18D;ORME LISSE
ESPAR;18M;ORME DE MONTAGNE
ESPAR;19;PEUPLIER CULTIVE
ESPAR;20G;TILLEUL A GRANDES FEUILLES
ESPAR;20P;TILLEUL A PETITES FEUILLES
ESPAR;20X;TILLEUL UNKNOWN (POSS HIBRIDUS)
ESPAR;21C;ERABLE CHAMPETRE
ESPAR;21M;ERABLE DE MONTPELLIER
ESPAR;21O;ERABLE A FEUILLES D'OBIER
ESPAR;22C;CERISIER
ESPAR;22G;CERISIER A GRAPPES
ESPAR;22M;MERISIER
ESPAR;22S;CERISIER TARDIF
ESPAR;23A;AMANDIER
ESPAR;23AB;ALISIER BLANC
ESPAR;23AF;ALISIER DE FONTAINEBLEAU
ESPAR;23AM;ALISIER DE MOUGEOT
ESPAR;23C;CORMIER
ESPAR;23F;FIGUIER DE CARIE
ESPAR;23PA;POIRIER A FEUILLES D'AMANDIER
ESPAR;23PC;POIRIER COMMUN
ESPAR;23PD;PRUNIER DOMESTIQUE
ESPAR;23PF;POIRIER A FEUILLES EN COUR
ESPAR;23PM;POMMIER SAUVAGE
ESPAR;23SO;SORBIER DES OISELEURS
ESPAR;24;TREMBLE
ESPAR;25B;SAULE BLANC
ESPAR;25C;SAULE CENDRE
ESPAR;25D;SAULE DRAPE
ESPAR;25E3;SAULE A TROIS ETAMINES
ESPAR;25E5;SAULE UNKNOWN
ESPAR;25FD;SAULE UNKNOWN
ESPAR;25FR;SAULE CASSANT
ESPAR;25M;SAULE MARSAULT
ESPAR;25R;SAULE ROUX
ESPAR;25V;SAULE DES VANNIERS
ESPAR;26E;PLATANE A FEUILLES D'ERABLE
ESPAR;26OC;PLATANE D'OCCIDENT
ESPAR;26OR;PLATANE D'ORIENT
ESPAR;27C;NOYER COMMUN
ESPAR;27N;NOYER NOIR
ESPAR;28;OLIVIER D'EUROPE
ESPAR;29AF;AUTRE FEUILLU (ESPECE LIGNEUSE FEUILLUE SANS CODE ESPAR)
ESPAR;29AI;AILANTE
ESPAR;29CM;CHENE DES MARAIS
ESPAR;29EN;ERABLE NEGUNDO
ESPAR;29MA;MARRONNIER D'INDE
ESPAR;29MI;MIMOSA
ESPAR;31;NOISETIER COUDRIER
ESPAR;32;CHARME HOUBLON
ESPAR;33B;PEUPLIER BLANC
ESPAR;33G;PEUPLIER GRISARD
ESPAR;33N;PEUPLIER NOIR
ESPAR;34;CHENE CHEVELU
ESPAR;36;EUCALYPTUS (GENRE)
ESPAR;37;AULNE VERT
ESPAR;38AL;CYTISE UNKNOWN
ESPAR;38AU;CYTISE AUBOUR
ESPAR;39;CORNOUILLER MALE
ESPAR;40;ARBOUSIER
ESPAR;41;ALISIER TORMINAL
ESPAR;42;TULIPIER DE VIRGINIE
ESPAR;49AA;AUBEPINE AZEROLIER
ESPAR;49AE;AUBEPINE EPINEUSE
ESPAR;49AM;AUBEPINE MONOGYNE
ESPAR;49BO;BOURDAINE
ESPAR;49BS;BUIS
ESPAR;49CS;ARBRE DE JUDEE
ESPAR;49EA;BRUYERE ARBORESCENTE
ESPAR;49EV;FUSAIN D'EUROPE
ESPAR;49FA;FILAIRE A FEUILLES ETROITES
ESPAR;49FL;FILAIRE A FEUILLES LARGES
ESPAR;49IA;HOUX
ESPAR;49LN;LAURIER NOBLE
ESPAR;49MB;UNKNOWN BROADLEAVED
ESPAR;49PC;PRUNE-CERISE
ESPAR;49PB;PISTACHIER UNKNOWN
ESPAR;49PL;PISTACHIER LENTISQUE
ESPAR;49PM;CERISIER DE SAINTE-LUCIE
ESPAR;49PS;PRUNELIER
ESPAR;49PT;PISTACHIER TEREBINTHE
ESPAR;49RA;NERPRUN ALATERNE
ESPAR;49RC;NERPRUN PURGATIF
ESPAR;49RP;NERPRUN DES ALPES
ESPAR;49RT;SUMAC DE VIRGINIE
ESPAR;49SN;SUREAU NOIR
ESPAR;49SR;SUREAU ROUGE
ESPAR;51;PIN MARITIME
ESPAR;52;PIN SYLVESTRE
ESPAR;53CA;PIN UNKNOWN
ESPAR;53CO;PIN LARICIO DE CORSE
ESPAR;53S;PIN DE SALZMANN
ESPAR;54;PIN NOIR D'AUTRICHE
ESPAR;55;PIN PARASOL
ESPAR;56;PIN WEYMOUTH
ESPAR;57A;PIN D'ALEP
ESPAR;57B;PIN BRUTIA (OU) ELDARICA
ESPAR;58;PIN A CROCHETS
ESPAR;59;PIN CEMBRO
ESPAR;60;PIN MUGO
ESPAR;61;SAPIN PECTINE
ESPAR;62;EPICEA COMMUN
ESPAR;63;MELEZE D'EUROPE
ESPAR;64;DOUGLAS
ESPAR;65;CEDRE DE L'ATLAS
ESPAR;66;CYPRES DE PROVENCE
ESPAR;67;IF
ESPAR;68CA;CYPRES DE L'ARIZONA
ESPAR;68CC;CYPRES CHAUVE
ESPAR;68CE;AUTRE RESINEUX (ESPECE LIGNEUSE RESINEUSE SANS CODE ESPAR)
ESPAR;68CJ;CRYPTOMERIA DU JAPON
ESPAR;68CL;CYPRES DE LAWSON
ESPAR;68CM;CYPRES DE LAMBERT
ESPAR;68PC;PIN DE MURRAY
ESPAR;68PM;PIN DE MONTEREY
ESPAR;68SV;SEQUOIA TOUJOURS VERT
ESPAR;68TG;THUYA GEANT
ESPAR;68TH;TSUGA HETEROPHYLLE
ESPAR;69JC;GENEVRIER COMMUN
ESPAR;69JO;GENEVRIER OXYCEDRE
ESPAR;71;SAPIN DE NORDMANN
ESPAR;72V;SAPIN DE VANCOUVER
ESPAR;73;EPICEA DE SITKA
ESPAR;74H;MELEZE HYBRIDE
ESPAR;74J;MELEZE DU JAPON
ESPAR;77;PIN A L'ENCENS ET HYBRIDES
ESSPRE;01;CHENE INDIFFERENCIE
ESSPRE;02;CHENE PEDONCULE
ESSPRE;03;CHENE ROUVRE
ESSPRE;04;CHENE ROUGE D'AMERIQUE
ESSPRE;05;CHENE PUBESCENT
ESSPRE;06;CHENE VERT
ESSPRE;07;CHENE TAUZIN
ESSPRE;08;CHENE-LIEGE
ESSPRE;09;HETRE
ESSPRE;10;CHATAIGNIER
ESSPRE;11;CHARME
ESSPRE;12;BOULEAU
ESSPRE;13;GRAND AULNE
ESSPRE;14;ROBINIER FAUX ACACIA
ESSPRE;15;GRAND ERABLE
ESSPRE;16;MICOCOULIER
ESSPRE;17;FRENE
ESSPRE;18;ORME
ESSPRE;19;PEUPLIER CULTIVE
ESSPRE;20;TILLEUL
ESSPRE;21;PETIT ERABLE
ESSPRE;22;CERISIER OU MERISIER
ESSPRE;23;AUTRE FRUITIER
ESSPRE;24;TREMBLE
ESSPRE;25;SAULE
ESSPRE;26;PLATANE
ESSPRE;27;NOYER
ESSPRE;28;OLIVIER
ESSPRE;29;AUTRE FEUILLU EXOTIQUE
ESSPRE;30;MURIER
ESSPRE;31;NOISETIER
ESSPRE;32;CHARME-HOUBLON
ESSPRE;33;PEUPLIER NON CULTIVE
ESSPRE;34;CHENE CHEVELU
ESSPRE;35;TAMARIS
ESSPRE;36;EUCALYPTUS
ESSPRE;37;AULNE VERT
ESSPRE;38;GRAND CYTISE (AUBOUR)
ESSPRE;39;CORNOUILLER MALE
ESSPRE;40;ARBOUSIER
ESSPRE;41;ALISIER TORMINAL
ESSPRE;42;TULIPIER DE VIRGINIE
ESSPRE;49;AUTRE FEUILLU INDIGENE
ESSPRE;51;PIN MARITIME
ESSPRE;52;PIN SYLVESTRE
ESSPRE;53;PIN LARICIO
ESSPRE;54;PIN NOIR
ESSPRE;55;PIN PIGNON
ESSPRE;56;PIN WEYMOUTH
ESSPRE;57;PIN D'ALEP
ESSPRE;58;PIN A CROCHETS
ESSPRE;59;PIN CEMBRO
ESSPRE;60;PIN MUGO
ESSPRE;61;SAPIN PECTINE
ESSPRE;62;EPICEA COMMUN
ESSPRE;63;MELEZE D'EUROPE
ESSPRE;64;DOUGLAS
ESSPRE;65;CEDRE DE L'ATLAS
ESSPRE;66;CYPRES
ESSPRE;67;IF
ESSPRE;68;AUTRE CONIFERE EXOTIQUE
ESSPRE;69;GENEVRIER THURIFERE
ESSPRE;70;SAPIN MEDITERRANEEN
ESSPRE;71;SAPIN DE NORDMANN
ESSPRE;72;SAPIN AMERICAIN
ESSPRE;73;EPICEA DE SITKA
ESSPRE;74;MELEZE EXOTIQUE
ESSPRE;75;AUTRE CONIFERE INDIGENE
ESSPRE;76;CEDRE DU LIBAN
ESSPRE;77;PIN A ENCENS
ESS_AGE_1;01;CHENE INDIFFERENCIE
ESS_AGE_1;02;CHENE PEDONCULE
ESS_AGE_1;03;CHENE ROUVRE
ESS_AGE_1;04;CHENE ROUGE D'AMERIQUE
ESS_AGE_1;05;CHENE PUBESCENT
ESS_AGE_1;06;CHENE VERT
ESS_AGE_1;07;CHENE TAUZIN
ESS_AGE_1;08;CHENE-LIEGE
ESS_AGE_1;09;HETRE
ESS_AGE_1;10;CHATAIGNIER
ESS_AGE_1;11;CHARME
ESS_AGE_1;12;BOULEAU
ESS_AGE_1;13;GRAND AULNE
ESS_AGE_1;14;ROBINIER FAUX ACACIA
ESS_AGE_1;15;GRAND ERABLE
ESS_AGE_1;16;MICOCOULIER
ESS_AGE_1;17;FRENE
ESS_AGE_1;18;ORME
ESS_AGE_1;19;PEUPLIER CULTIVE
ESS_AGE_1;20;TILLEUL
ESS_AGE_1;21;PETIT ERABLE
ESS_AGE_1;22;CERISIER OU MERISIER
ESS_AGE_1;23;AUTRE FRUITIER
ESS_AGE_1;24;TREMBLE
ESS_AGE_1;25;SAULE
ESS_AGE_1;26;PLATANE
ESS_AGE_1;27;NOYER
ESS_AGE_1;28;OLIVIER
ESS_AGE_1;29;AUTRE FEUILLU EXOTIQUE
ESS_AGE_1;30;MURIER
ESS_AGE_1;31;NOISETIER
ESS_AGE_1;32;CHARME-HOUBLON
ESS_AGE_1;33;PEUPLIER NON CULTIVE
ESS_AGE_1;34;CHENE CHEVELU
ESS_AGE_1;35;TAMARIS
ESS_AGE_1;36;EUCALYPTUS
ESS_AGE_1;37;AULNE VERT
ESS_AGE_1;38;GRAND CYTISE (AUBOUR)
ESS_AGE_1;39;CORNOUILLER MALE
ESS_AGE_1;40;ARBOUSIER
ESS_AGE_1;41;ALISIER TORMINAL
ESS_AGE_1;42;TULIPIER DE VIRGINIE
ESS_AGE_1;49;AUTRE FEUILLU INDIGENE
ESS_AGE_1;51;PIN MARITIME
ESS_AGE_1;52;PIN SYLVESTRE
ESS_AGE_1;53;PIN LARICIO
ESS_AGE_1;54;PIN NOIR
ESS_AGE_1;55;PIN PIGNON
ESS_AGE_1;56;PIN WEYMOUTH
ESS_AGE_1;57;PIN D'ALEP
ESS_AGE_1;58;PIN A CROCHETS
ESS_AGE_1;59;PIN CEMBRO
ESS_AGE_1;60;PIN MUGO
ESS_AGE_1;61;SAPIN PECTINE
ESS_AGE_1;62;EPICEA COMMUN
ESS_AGE_1;63;MELEZE D'EUROPE
ESS_AGE_1;64;DOUGLAS
ESS_AGE_1;65;CEDRE DE L'ATLAS
ESS_AGE_1;66;CYPRES
ESS_AGE_1;67;IF
ESS_AGE_1;68;AUTRE CONIFERE EXOTIQUE
ESS_AGE_1;69;GENEVRIER THURIFERE
ESS_AGE_1;70;SAPIN MEDITERRANEEN
ESS_AGE_1;71;SAPIN DE NORDMANN
ESS_AGE_1;72;SAPIN AMERICAIN
ESS_AGE_1;73;EPICEA DE SITKA
ESS_AGE_1;74;MELEZE EXOTIQUE
ESS_AGE_1;75;AUTRE CONIFERE INDIGENE
ESS_AGE_1;76;CEDRE DU LIBAN
ESS_AGE_1;77;PIN A ENCENS
FORME;0;TETARD
FORME;1;FAIBLE HOUPPIER
FORME;2;FORT HOUPPIER
FORME;Z;EBRANCHE
GEST;0;AUCUNE TRACE DE GESTION
GEST;1;TRACES FAIBLES DE GESTION
GEST;2;SIGNES MANIFESTES DE GESTION
HUMUS;10;MOR
HUMUS;15;MOR CARBONATE
HUMUS;18;HYDROMOR
HUMUS;20;MODER
HUMUS;21;DYSMODER
HUMUS;22;HEMI-MODER
HUMUS;25;MODER CARBONATE
HUMUS;28;HYDROMODER
HUMUS;30;DYSMULL
HUMUS;31;OLIGOMULL
HUMUS;40;MESOMULL
HUMUS;42;AMPHIMULL
HUMUS;45;MULL CARBONATE EPAIS
HUMUS;48;HYDROMULL
HUMUS;50;EUMULL
HUMUS;55;MULL CARBONATE
HUMUS;80;TOURBE
HUMUS;81;ANMOOR
HUMUS;99;ABSENCE OU AUTRE
INCID;0;PAS DE DEGATS
